bid_id,period,bucket_id,bid_type,zone,quantity,price,num_periods,link
2217761133,1,1,S,TR1,45,0,1,
2217761133,2,1,S,TR1,45,2000,1,
2217761292,1,2,S,TR1,46,0,1,
2217761292,2,2,S,TR1,46,2000,1,
2217761451,1,3,S,TR1,43,0,1,
2217761451,2,3,S,TR1,43,2000,1,
2217761610,1,4,S,TR1,41,0,1,
2217761610,2,4,S,TR1,41,2000,1,
2217761769,1,5,S,TR1,39,0,1,
2217761769,2,5,S,TR1,39,2000,1,
2217761928,1,6,S,TR1,37,0,1,
2217761928,2,6,S,TR1,37,2000,1,
2217762087,1,7,S,TR1,39,0,1,
2217762087,2,7,S,TR1,39,2000,1,
2217762246,1,8,S,TR1,51,0,1,
2217762246,2,8,S,TR1,51,2000,1,
2217762405,1,9,S,TR1,60,0,1,
2217762405,2,9,S,TR1,60,2000,1,
2217762564,1,10,S,TR1,76,0,1,
2217762564,2,10,S,TR1,76,2000,1,
2217762723,1,11,S,TR1,94,0,1,
2217762723,2,11,S,TR1,94,2000,1,
2217762882,1,12,S,TR1,65,0,1,
2217762882,2,12,S,TR1,65,2000,1,
2217763041,1,13,S,TR1,85,0,1,
2217763041,2,13,S,TR1,85,2000,1,
2217763200,1,14,S,TR1,64,0,1,
2217763200,2,14,S,TR1,64,2000,1,
2217763359,1,15,S,TR1,95,0,1,
2217763359,2,15,S,TR1,95,2000,1,
2217763518,1,16,S,TR1,97,0,1,
2217763518,2,16,S,TR1,97,2000,1,
2217763677,1,17,S,TR1,88,0,1,
2217763677,2,17,S,TR1,88,2000,1,
2217763836,1,18,S,TR1,64,0,1,
2217763836,2,18,S,TR1,64,2000,1,
2217763995,1,19,S,TR1,63,0,1,
2217763995,2,19,S,TR1,63,2000,1,
2217764154,1,20,S,TR1,64,0,1,
2217764154,2,20,S,TR1,64,2000,1,
2217764313,1,21,S,TR1,60,0,1,
2217764313,2,21,S,TR1,60,2000,1,
2217764472,1,22,S,TR1,55,0,1,
2217764472,2,22,S,TR1,55,2000,1,
2217764631,1,23,S,TR1,41,0,1,
2217764631,2,23,S,TR1,41,2000,1,
2217764790,1,24,S,TR1,46,0,1,
2217764790,2,24,S,TR1,46,2000,1,
2218557988,1,1,S,TR1,191,0,1,
2218557988,2,1,S,TR1,191,2000,1,
2218558147,1,2,S,TR1,174,0,1,
2218558147,2,2,S,TR1,174,2000,1,
2218558306,1,3,S,TR1,165,0,1,
2218558306,2,3,S,TR1,165,2000,1,
2218558465,1,4,S,TR1,161,0,1,
2218558465,2,4,S,TR1,161,2000,1,
2218558624,1,5,S,TR1,153,0,1,
2218558624,2,5,S,TR1,153,2000,1,
2218558783,1,6,S,TR1,155,0,1,
